Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.216.150.181-10.128.0.42-50873-29000-6,162.216.150.181,50873,10.128.0.42,29000,6,17/12/2023 12:22:28 PM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
10.128.0.42-142.251.171.95-42398-443-6,10.128.0.42,42398,142.251.171.95,443,6,17/12/2023 12:20:28 PM,106753137,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14987849958919708,7116875.800000001,7874199.335158148,1.5252897E7,784.0,1.06751984E8,1.525028342857143E7,2595.721342077186,1.5253886E7,1.5246149E7,1.06752108E8,1.5250301142857144E7,2673.3576533744254,1.525405E7,1.5246239E7,0,0,0,0,256,256,0.07493924979459854,0.07493924979459854,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,501,338,0,32,969.7142857142857,146.45672203272687,1194.0,784.0,1.5249313714285715E7,2592.5923779289283,1.5252897E7,1.5245191E7,NeedManualLabel
167.94.138.106-10.128.0.42-18492-5182-6,167.94.138.106,18492,10.128.0.42,5182,6,17/12/2023 12:22:33 PM,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
205.210.31.138-10.128.0.42-53210-8082-6,205.210.31.138,53210,10.128.0.42,8082,6,17/12/2023 12:22:35 PM,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,18181.81818181818,18181.81818181818,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
222.254.21.74-10.128.0.42-49924-443-6,222.254.21.74,49924,10.128.0.42,443,6,17/12/2023 12:22:35 PM,1230615,8,8,976.0,4310.0,658.0,0.0,122.0,227.13683729668963,2800.0,0.0,538.75,997.1182405884899,4295.413268975269,13.001629266667479,82041.0,152378.48238233264,499352.0,0.0,1230377.0,175768.14285714287,187396.49827431724,500007.0,0.0,1230587.0,175798.14285714284,235849.6575203708,499514.0,9.0,0,0,0,0,264,264,6.500814633333739,6.500814633333739,0.0,2800.0,310.9411764705883,712.3158069448757,507393.8088235294,2,2,0,8,15,0,0,0,1.0,330.375,122.0,538.75,0,0,0,5286,8,5310,0,0,0,0,64240,501,4,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.128.0.42-142.251.161.95-49554-443-6,10.128.0.42,49554,142.251.161.95,443,6,17/12/2023 12:20:38 PM,119758566,101,97,404009.0,2744.0,25137.0,0.0,4000.08910891089,6421.9329334695,97.0,0.0,28.288659793814425,33.389731069499064,3396.4418044217396,1.6533264100707419,607911.5025380709,2646700.110843932,1.5251057E7,0.0,1.19752575E8,1197525.7500000002,3627152.0937861935,1.5251938E7,3.0,1.19758566E8,1247485.0625,3745380.431583346,1.5252281E7,0.0,1,0,0,0,3232,3104,0.8433634718037623,0.8099629382669795,0.0,25137.0,2044.2864321608042,4979.118120302641,2.47916172559261E7,0,0,0,109,198,0,0,0,0.0,2054.6111111111113,4000.089108910891,28.288659793814432,0,0,0,67608,18,150137,10,40400,9,274,4172,4172,60,32,420296.7000000001,478574.33373302745,1232302.0,763.0,1.15549608E7,3489946.347152721,1.5251057E7,6500554.0,NeedManualLabel
35.203.210.183-10.128.0.42-56747-55916-6,35.203.210.183,56747,10.128.0.42,55916,6,17/12/2023 12:22:39 PM,52,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38461.53846153846,52.0,0.0,52.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,19230.76923076923,19230.76923076923,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,24,0,0,0,0,0,0,0,0,NeedManualLabel
10.128.0.42-222.254.21.74-22-52060-6,10.128.0.42,22,222.254.21.74,52060,6,17/12/2023 12:20:47 PM,60000076,3,1,80.0,80.0,80.0,0.0,26.666666666666664,46.188021535170066,80.0,80.0,80.0,0.0,2.6666632888931674,0.06666658222232918,2.0000025333333336E7,3.4641007202448376E7,6.0000015E7,30.0,6.0000076E7,3.0000038E7,4.242641818490135E7,6.0000046E7,30.0,0,0,0,0,0,1,0,0,0,96,32,0.04999993666674689,0.016666645555582296,0.0,80.0,48.0,43.81780460041329,1920.0,0,0,0,2,4,0,0,0,0.0,60.0,26.666666666666668,80.0,0,0,0,0,0,0,3,80,1,80,1194,1194,0,32,30.0,0.0,30.0,30.0,6.0000015E7,0.0,6.0000015E7,6.0000015E7,NeedManualLabel
42.114.37.222-10.128.0.42-14128-443-6,42.114.37.222,14128,10.128.0.42,443,6,17/12/2023 12:20:48 PM,116738668,42,55,5812.0,107742.0,2816.0,0.0,138.38095238095235,435.23836768087193,2816.0,0.0,1958.9454545454541,1177.4781655313316,972.7196818795294,0.8309157682011584,1216027.7916666658,2961711.009089416,9506197.0,0.0,1.16738626E8,2847283.5609756093,4199602.7958246535,9750102.0,0.0,1.16738657E8,2161826.9814814823,3693501.0676884754,9506197.0,8.0,1,0,0,0,1344,1760,0.3597779614891614,0.47113780671199706,0.0,2816.0,1187.4489795918366,1301.2550652323175,1693264.744792763,0,0,0,56,97,0,0,0,1.0,1199.6907216494844,138.38095238095238,1958.9454545454546,0,0,0,8111,4,26158,3,447,4,8287,501,501,14,32,315665.23076923087,120461.21859555319,491809.0,220448.0,8645940.0,417179.26905748015,9506197.0,7750493.0,NeedManualLabel
42.114.37.222-10.128.0.42-58423-443-6,42.114.37.222,58423,10.128.0.42,443,6,17/12/2023 12:20:51 PM,116473134,43,56,5812.0,108599.0,2816.0,0.0,135.1627906976744,430.54322996444506,2816.0,0.0,1939.2678571428569,1175.9805269116173,982.2951960750022,0.8499814214666878,1188501.3673469392,2929092.546033265,9026517.0,0.0,1.16473079E8,2773168.547619048,4171553.885675043,9250009.0,0.0,1.16473124E8,2117693.163636364,3672671.1066952227,9026517.0,9.0,1,0,0,0,1388,1792,0.36918384972795526,0.48079757173873244,0.0,2816.0,1172.2700000000002,1293.8973766543975,1674170.4213131315,0,0,0,57,99,0,0,0,1.0,1184.111111111111,135.1627906976744,1939.267857142857,0,0,0,8172,4,28370,3,447,4,8353,501,501,14,32,311364.8461538461,154329.7416399089,729138.0,223112.0,8629985.846153846,301597.04635016085,9026517.0,8025040.0,NeedManualLabel
